Timestamp,In what region do you live?,How long have you been working with Ember?,Grade your knowledge of Javascript,Grade your knowledge of Ember.js,What is your development role?,I use Ember for work:,Choose the option(s) that best describe your employment situation:,What are your preferred server-side languages:,What is your preferred text editor:,Choose the option(s) that best describe your participation in the Ember community:,Which operating system(s) do you use for development?,What other framework(s) do you have experience with?,How many developers are employed at your company?,How many developers at your company work with Ember?,"In one year, how many Ember developers do you plan to employ?",Which version(s) of Ember are in use in your apps?,Which data-access libraries do you use?,"If you use Ember-Data, which version(s) are in use:",What kind of templates do you use in your Ember apps?,What build tools do you use to build your Ember apps?,What do you use to package your app modules?,What do you use for dependency management?,What is the primary language of your server side stack?,Select any of these server-side frameworks you use:,What standards do you follow for HTTP API design?,What tool(s) do you use for HTTP API design/documentation?,What testing framework(s) do you use in your Ember apps?,How old are your Ember applications?,How often do you deploy updated versions of your Ember apps?,What is the primary target platform for your Ember apps?,Who uses your application(s)?,What browser versions do your applications target?,"In one year, what browser versions do you expect to target?",Which of these best describes your use of Ember in production applications?,What is your preferred hosting provider for your Ember apps?,How much is shared between your server-side and client-side app hosting?,Which SCM do you use?,What method do you rely on for search engine indexing?,"How many addons have you written (including private, unpublished libraries)?",How many addons have you published publicly?,Are your addons unit tested?,Are your addons acceptance tested?
2/9/2015 9:43:54,North America,> 24 months,8,,Developer,All the time,Independent product developer,"Ruby, Python, PHP, PHP",Sublime,None of these,"Mac OSX, Linux/Unix","Angular, Backbone, jQuery Mobile",1-10,1-10,More,"1.9, 1.10",Ember-Data,1.0-beta.14,Standard Ember Templates (Handlebars/HTMLBars),"Ember-cli, Grunt, mostly manual",mostly manual,"ember-cli (bower and npm), mostly manual","Ruby, PHP","Rails (Ruby), Slim for PHP","JSON-API, Custom design",None,Ember-QUnit,> 24 months,Weekly,"Desktop, Mobile","Public Consumers, Business to business consumers, Consumers and internal users","Mobile browsers, Modern browsers (last two versions)","Mobile browsers, Modern browsers (last two versions)",An app that is used by thousands of users,"Self-hosted (dedicated infrastructure), Rackspace Cloud",Shared hardware,Git,"App is private, behind an authentication flow, or this question generally does not apply, Google's JavaScript execution",> 6,0,All,All
2/9/2015 9:52:08,Europe,3-6 months,8,8,Developer,Some times,Employee working on product,Python,Sublime,Attended a meetup / conference,Mac OSX,,1-10,1-10,More,1.1,Ember-Data,1.0-beta.14,Standard Ember Templates (Handlebars/HTMLBars),Ember-cli,ES6 transpilation,ember-cli (bower and npm),Python,Django (Python),JSON-API,None,We don’t write tests,"< 3 months, 3 -6 months",Weekly,Desktop,"Business to business consumers, Internal users only","Modern browsers (last two versions), IE 9",Modern browsers (last two versions),An app that is used by thousands of users,Google Cloud Storage,Shared hardware,Git,"App is private, behind an authentication flow, or this question generally does not apply",1-3,0,None,None
2/9/2015 10:08:42,North America,9-12 months,6,7,Developer,All the time,"Employee working on product, Independent product developer, Independent consultant","Ruby, JavaScript",Atom,"Opened an issue, Maintain a library, Attended a meetup / conference, Given a talk / lecture / class","Mac OSX, Linux/Unix","Angular, Backbone, React, Meteor",1-10,1-10,The same amount,"1.9, 1.10",Ember-Data,"1.0-beta.13, 1.0-beta.14",Standard Ember Templates (Handlebars/HTMLBars),"Ember-cli, Ember-rails (pre-cli)",ES6 transpilation,"Bower, npm, ember-cli (bower and npm)",Ruby,"Rails (Ruby), Grape (Ruby)","A non-standard compliant library such as ActiveModel::Serializer (Ruby), FRAPI (PHP), etc.",Swagger,Mocha,3 -6 months,Haven’t shipped yet / Still developing,"Desktop, Mobile, Desktop & Mobile (fully responsive)","Public Consumers, Business to business consumers, Consumers and internal users","Mobile browsers, Modern browsers (last two versions), IE 9","Mobile browsers, Modern browsers (last two versions), IE 9",Prototype only,Self-hosted (dedicated infrastructure),Shared hardware,Git,"App is private, behind an authentication flow, or this question generally does not apply",1-3,1-3,Some,Some
2/9/2015 10:13:05,Europe,12-18 months,8,9,CTO,All the time,Employee working on product,"Ruby, Python",Vim,"Opened an issue, Opened a PR",Mac OSX,"Backbone, Meteor, jQuery Mobile",1-10,1-10,More,"1.8, 1.9, 1.10",Ember-Data,1.0-beta.14,Standard Ember Templates (Handlebars/HTMLBars),"Ember-cli, Rails asset pipeline, Ember-rails (pre-cli)","ES6 transpilation, Globals - nothing","Bower, npm, ember-cli (bower and npm)",Ruby,"Rails (Ruby), Grape (Ruby)","A non-standard compliant library such as ActiveModel::Serializer (Ruby), FRAPI (PHP), etc.","Apiary, Swagger",Ember-QUnit,9-12 months,Weekly,"Desktop, Mobile",Public Consumers,"Mobile browsers, Modern browsers (last two versions), Legacy Chrome, Firefox, or Safari, IE 9","Mobile browsers, Modern browsers (last two versions)",An app that is used by millions of users,"VPS (cloud infrastructure), S3 (with or without CloudFront)",Shared hardware,Git,Google's JavaScript execution,1-3,0,All,Some
2/9/2015 10:21:19,South America,< 3 months,8,3,CTO,Some times,Employee working on product,"JavaScript, .NET","Sublime, Vim, Visual Studio",None of these,Mac OSX,"Angular, React, jQuery Mobile",1-10,1-10,More,1.11 Beta,Ember-Data,1.0-beta.14,Standard Ember Templates (Handlebars/HTMLBars),Ember-cli,ES6 transpilation,ember-cli (bower and npm),.NET,Nancy (.NET),Custom design,Swagger,Ember-QUnit,< 3 months,Haven’t shipped yet / Still developing,Desktop & Mobile (fully responsive),Business to business consumers,"Mobile browsers, Modern browsers (last two versions)","Mobile browsers, Modern browsers (last two versions)",An app that is used by tens of users,S3 (with or without CloudFront),No shared infrastructure,Git,"App is private, behind an authentication flow, or this question generally does not apply",0,0,I'm not sure how to do this,I'm not sure how to do this
2/9/2015 10:23:35,North America,3-6 months,7,4,Developer,All the time,Employee working on product,"Ruby, JavaScript, .NET",Sublime,None of these,Mac OSX,"Angular, Backbone",1-10,1-10,The same amount,1.9,Ember-Data,0.14,Standard Ember Templates (Handlebars/HTMLBars),"Ember-cli, Rails asset pipeline",I don't know,ember-cli (bower and npm),Ruby,"Rails (Ruby), MVC (.NET)","A non-standard compliant library such as ActiveModel::Serializer (Ruby), FRAPI (PHP), etc.",None,QUnit,9-12 months,Almost daily,Desktop,Public Consumers,Modern browsers (last two versions),Modern browsers (last two versions),An app that is used by thousands of users,S3 (with or without CloudFront),Shared hardware,Git,"App is private, behind an authentication flow, or this question generally does not apply",0,0,None,None
2/9/2015 10:27:05,Europe,Started on Sproutcore 2 (or before!),9,8,CTO,Some times,Independent consultant,"Ruby, JavaScript","Sublime, Vim, Emacs",Attended a meetup / conference,"Mac OSX, Linux/Unix","Angular, Backbone, jQuery Mobile, Sproutcore",1-10,1-10,,"1.8, 1.10","Ember-Data, Orbit or Ember-Orbit",1.0-beta.13,Standard Ember Templates (Handlebars/HTMLBars),Ember-cli,ES6 transpilation,ember-cli (bower and npm),Ruby,"Rails (Ruby), Sinatra (Ruby)","HAL, JSON-API",,"Ember-QUnit, Mocha","3 -6 months, 9-12 months, Started on Sproutcore 2","Almost daily, Haven’t shipped yet / Still developing",Desktop & Mobile (fully responsive),"Business to business consumers, Consumers and internal users","Mobile browsers, Modern browsers (last two versions), IE 9","Mobile browsers, Modern browsers (last two versions)",An app that is used by tens of users,Self-hosted (dedicated infrastructure),Shared hardware,Git,"App is private, behind an authentication flow, or this question generally does not apply",0,0,,
2/9/2015 10:27:35,Europe,12-18 months,10,7,Developer,Some times,"Employee working on product, Employee doing consulting/client work","Ruby, JavaScript, PHP",Vim,"Opened an issue, Opened a PR, Written a blog post / article, Given a talk / lecture / class",Linux/Unix,"Angular, Backbone, jQuery Mobile",More than 100,1-10,Fewer,"pre-1.0, 1.0, 1.10, Canary (master)","Ember-Data, Ember-Model, Ember-Scuttlebutt",1.0-beta.1-3,Standard Ember Templates (Handlebars/HTMLBars),"Ember App Kit, Yeoman, Grunt",ES6 transpilation,"Bower, npm","JavaScript, Java","Rails (Ruby), Symphony (PHP), Express (Node), Spring (Java)",Custom design,"Apiary, Swagger","Ember-QUnit, Jasmine","6-9 months, 12-18 months","Less than once a month, Almost never","Desktop, Desktop & Mobile (fully responsive)","Public Consumers, Internal users only",Modern browsers (last two versions),Modern browsers (last two versions),An app that is used on a corporate intranet,"Self-hosted (dedicated infrastructure), Heroku",Shared hardware,Git,"App is private, behind an authentication flow, or this question generally does not apply",0,0,All,Some
2/9/2015 10:27:37,North America,3-6 months,7,3,Developer,Some times,Employee working on product,"Ruby, JavaScript",Vim,Attended a meetup / conference,Mac OSX,"Backbone, jQuery Mobile",20-50,1-10,More,1.1,Ember-Data,1.0-beta.14,"Standard Ember Templates (Handlebars/HTMLBars), Emblem",Ember-cli,ES6 transpilation,ember-cli (bower and npm),Ruby,Rails (Ruby),JSON-API,None,Ember-QUnit,3 -6 months,Weekly,Mobile,Public Consumers,"Mobile browsers, Modern browsers (last two versions)","Mobile browsers, Modern browsers (last two versions)",An app that is used by thousands of users,S3 (with or without CloudFront),No shared infrastructure,Git,Google's JavaScript execution,1-3,0,All,Some
2/9/2015 10:28:09,North America,3-6 months,8,5,Developer,All the time,Employee working on product,Ruby,Vim,None of these,Mac OSX,,1-10,1-10,More,1.7,Ember-Data,"1.0-beta.11, 1.0-beta.12",Standard Ember Templates (Handlebars/HTMLBars),Ember-cli,ES6 transpilation,ember-cli (bower and npm),Ruby,Rails (Ruby),JSON-API,None,"Cucumber, PhantomJS",< 3 months,Haven’t shipped yet / Still developing,Desktop & Mobile (fully responsive),Public Consumers,"Mobile browsers, Modern browsers (last two versions)","Mobile browsers, Modern browsers (last two versions)",An app that is used by thousands of users,"VPS (cloud infrastructure), Rackspace Cloud",Shared data-center,Git,"App is private, behind an authentication flow, or this question generally does not apply",1-3,0,,
2/9/2015 10:30:50,Europe,12-18 months,3,4,Developer,Some times,"Employee working on product, Independent product developer",.NET,"Sublime, Visual Studio, Notepad++",None of these,Windows,jQuery Mobile,1-10,1-10,Fewer,1.7,Ember-Data,"1.0-beta.11, 1.0-beta.12",Standard Ember Templates (Handlebars/HTMLBars),Grunt,,,.NET,MVC (.NET),Custom design,None,We don’t write tests,12-18 months,Almost never,Desktop & Mobile (fully responsive),"Public Consumers, Business to business consumers, Consumers and internal users","Mobile browsers, Modern browsers (last two versions), IE 9",Modern browsers (last two versions),An app that is used by tens of users,,Shared hardware,Git,Google's JavaScript execution,0,0,None,None
2/9/2015 10:37:17,North America,< 3 months,6,5,Developer,Some times,"Employee working on product, Independent consultant","Ruby, .NET","Sublime, Visual Studio",None of these,"Mac OSX, Windows",,10-20,1-10,The same amount,1.9,Ember-Data,"1.0-beta.11, 1.0-beta.12, 1.0-beta.14",Standard Ember Templates (Handlebars/HTMLBars),"Ember-cli, Grunt",ES6 transpilation,"Bower, npm",.NET,"Rails (Ruby), MVC (.NET)",Custom design,None,We don’t write tests,< 3 months,Weekly,Desktop,Business to business consumers,Modern browsers (last two versions),Modern browsers (last two versions),An app that is used by tens of users,Self-hosted (dedicated infrastructure),Shared hardware,TFS,"App is private, behind an authentication flow, or this question generally does not apply",0,0,None,None
2/9/2015 10:38:13,Europe,6-9 months,6,5,CTO,Some times,Employee working on product,Ruby,"WebStorm, Rubymine (ember-rails)",None of these,"Mac OSX, Linux/Unix",,1-10,1-10,More,1.1,Ember-Data,1.0-beta.14,"Standard Ember Templates (Handlebars/HTMLBars), I Wich Emblem or any indented hbs-like would be more maintained. I'm familiar with haml, it is very important for me.","Rails asset pipeline, Ember-rails (pre-cli)",I don't know,Bundler (gems and https://rails-assets.org/ ),Ruby,Rails (Ruby),JSON-API,Swagger,"Ember-QUnit, This is the big problem for me at the moment. It is HARD to test, it must be easy to test a framework (cf Rails).","< 3 months, 12-18 months",Monthly,Desktop & Mobile (fully responsive),"Public Consumers, Internal users only","Mobile browsers, Modern browsers (last two versions)","Mobile browsers, Modern browsers (last two versions)",An app that is used by thousands of users,Heroku,No shared infrastructure,Git,,1-3,0,All,All
2/9/2015 10:44:25,Europe,9-12 months,4,2,Developer,Some times,Employee doing consulting/client work,Ruby,Sublime,Written a blog post / article,Linux/Unix,"Angular, Backbone",1-10,1-10,The same amount,1.9,,,Standard Ember Templates (Handlebars/HTMLBars),Ember-cli,ES6 transpilation,ember-cli (bower and npm),Ruby,"Rails (Ruby), Sinatra (Ruby)",Custom design,,Ember-QUnit,6-9 months,Less than once a month,Desktop,Public Consumers,"Mobile browsers, Modern browsers (last two versions)","Mobile browsers, Modern browsers (last two versions)",An app that is used by tens of users,,No shared infrastructure,Git,,0,0,,
2/9/2015 10:45:04,North America,3-6 months,6,4,Developer,Some times,"Independent product developer, Independent consultant","Ruby, .NET","Sublime, Vim, Visual Studio",,"Mac OSX, Windows",Spine.js,1-10,1-10,More,1.9,"Ember-Data, Custom Solution",1.0-beta.14,Standard Ember Templates (Handlebars/HTMLBars),"Ember-cli, Rails asset pipeline",I don't know,,Ruby,Rails (Ruby),JSON-API,None,"Mocha, Teaspoon",9-12 months,Almost daily,Desktop,Business to business consumers,Modern browsers (last two versions),Modern browsers (last two versions),An app that is used by thousands of users,S3 (with or without CloudFront),Shared data-center,Git,"App is private, behind an authentication flow, or this question generally does not apply",0,0,,
2/9/2015 10:45:18,North America,12-18 months,9,8,Developer,All the time,"Employee working on product, Independent product developer",Ruby,Sublime,"Opened an issue, Maintain a library",Mac OSX,"Backbone, jQuery Mobile",1-10,1-10,The same amount,1.9,Ember-Data,"1.0-beta.11, 1.0-beta.12, 1.0-beta.14",Standard Ember Templates (Handlebars/HTMLBars),"Ember-cli, Rails asset pipeline",ES6 transpilation,ember-cli (bower and npm),Ruby,Rails (Ruby),"A non-standard compliant library such as ActiveModel::Serializer (Ruby), FRAPI (PHP), etc., Restpack Serializer",None,"Ember-QUnit, Jasmine","6-9 months, 12-18 months",Weekly,Desktop & Mobile (fully responsive),"Public Consumers, Business to business consumers","Mobile browsers, Modern browsers (last two versions), IE 9","Mobile browsers, Modern browsers (last two versions), IE 9",,S3 (with or without CloudFront),No shared infrastructure,Git,"App is private, behind an authentication flow, or this question generally does not apply, Google's JavaScript execution",1-3,1-3,Some,None
2/9/2015 10:48:37,North America,> 24 months,8,8,Developer,All the time,Employee working on product,"Ruby, Python",Vim,"Opened a PR, Attended a meetup / conference, Written a blog post / article, Given a talk / lecture / class",Mac OSX,,10-20,1-10,More,1.9,Ember-Data,"1.0-beta.11, 1.0-beta.12",Standard Ember Templates (Handlebars/HTMLBars),Ember-cli,ES6 transpilation,ember-cli (bower and npm),"Ruby, Python","Rails (Ruby), Flask (Python)","A non-standard compliant library such as ActiveModel::Serializer (Ruby), FRAPI (PHP), etc.",None,Ember-QUnit,> 24 months,Weekly,Desktop,Business to business consumers,Modern browsers (last two versions),"Mobile browsers, Modern browsers (last two versions)",An app that is used by tens of users,S3 (with or without CloudFront),Shared data-center,Git,"App is private, behind an authentication flow, or this question generally does not apply",1-3,1-3,None,None
2/9/2015 10:50:40,Europe,12-18 months,5,6,Developer,Some times,Independent product developer,Ruby,Sublime,None of these,Linux/Unix,,1-10,1-10,The same amount,"1.2, 1.5, 1.10, 1.11 Beta","Ember-Data, Orbit or Ember-Orbit",1.0-beta.14,Standard Ember Templates (Handlebars/HTMLBars),Ember-cli,ES6 transpilation,ember-cli (bower and npm),Ruby,Rails (Ruby),"HAL, JSON-API, A non-standard compliant library such as ActiveModel::Serializer (Ruby), FRAPI (PHP), etc.",None,"Ember-QUnit, We don’t write tests",3 -6 months,Less than once a month,Desktop & Mobile (fully responsive),Internal users only,Modern browsers (last two versions),Modern browsers (last two versions),An app that is used by tens of users,VPS (cloud infrastructure),Shared data-center,Git,"App is private, behind an authentication flow, or this question generally does not apply",0,0,None,None
2/9/2015 10:51:41,Europe,12-18 months,6,3,Developer,Some times,Employee working on product,JavaScript,Sublime,None of these,Mac OSX,,More than 100,None,,"1.11 Beta, Canary (master)",Ember-Data,1.0-beta.14,Standard Ember Templates (Handlebars/HTMLBars),Ember-cli,I don't know,ember-cli (bower and npm),PHP,"Rails (Ruby), Express (Node), Sails (js)","JSON-API, A non-standard compliant library such as ActiveModel::Serializer (Ruby), FRAPI (PHP), etc.",None,Ember-QUnit,< 3 months,Haven’t shipped yet / Still developing,Desktop & Mobile (fully responsive),"Consumers and internal users, Internal users only",Modern browsers (last two versions),Modern browsers (last two versions),An app that is used by thousands of users,Self-hosted (dedicated infrastructure),Shared hardware,,,0,0,I'm not sure how to do this,I'm not sure how to do this
2/9/2015 10:54:18,Europe,12-18 months,7,7,Project manager,All the time,Employee working on product,,"WebStorm, Kate","Opened an issue, Opened a PR, Hang out on IRC",Linux/Unix,Backbone,1-10,1-10,The same amount,"1.11 Beta, Canary (master)",Ember-Data,1.0-beta.14,Standard Ember Templates (Handlebars/HTMLBars),Ember-cli,ES6 transpilation,"Bower, npm",Go,,JSON-API,Swagger,Ember-QUnit,12-18 months,Haven’t shipped yet / Still developing,Desktop,Public Consumers,Modern browsers (last two versions),"Modern browsers (last two versions), Legacy Chrome, Firefox, or Safari",Prototype only,Self-hosted (dedicated infrastructure),Shared hardware,Git,"App is private, behind an authentication flow, or this question generally does not apply",0,0,,
2/9/2015 10:56:07,North America,6-9 months,7,5,Developer,All the time,Employee working on product,"Ruby, JavaScript, .NET",Sublime,None of these,Mac OSX,"Angular, Backbone, Meteor",1-10,1-10,The same amount,1.9,Ember-Data,1.0-beta.14,Standard Ember Templates (Handlebars/HTMLBars),"Ember-cli, Ember-rails (pre-cli)",I don't know,,Ruby,Rails (Ruby),"JSON-API, A non-standard compliant library such as ActiveModel::Serializer (Ruby), FRAPI (PHP), etc.",None,"Ember-QUnit, Mocha",9-12 months,"Almost daily, Weekly",Desktop,"Public Consumers, Business to business consumers",Modern browsers (last two versions),Modern browsers (last two versions),An app that is used by tens of users,S3 (with or without CloudFront),Shared data-center,Git,Google's JavaScript execution,0,0,None,None
2/9/2015 10:56:15,North America,3-6 months,4,4,Developer,Some times,Employee doing consulting/client work,"Ruby, JavaScript, Java","Vim, Notepad++",Would love to contribute but limited on time,"Mac OSX, Linux/Unix, Windows",,10-20,1-10,The same amount,1.8,"Ember-Data, ic-ajax",1.0-beta.8-10,Standard Ember Templates (Handlebars/HTMLBars),Ember-cli,I don't know,ember-cli (bower and npm),Java,Spring (Java),"JSON-API, Custom design",Swagger,Ember-QUnit,3 -6 months,Haven’t shipped yet / Still developing,Desktop & Mobile (fully responsive),Business to business consumers,"Mobile browsers, Modern browsers (last two versions), IE 9","Mobile browsers, Modern browsers (last two versions)",An app that is used by thousands of users,Self-hosted (dedicated infrastructure),Shared data-center,Git,"App is private, behind an authentication flow, or this question generally does not apply",0,0,,
2/9/2015 10:58:49,North America,9-12 months,8,6,Developer,Some times,Independent consultant,Ruby,Sublime,Attended a meetup / conference,Mac OSX,jQuery Mobile,1-10,1-10,The same amount,1.8,Ember-Data,"1.0-beta.11, 1.0-beta.12",Standard Ember Templates (Handlebars/HTMLBars),"Rails asset pipeline, Ember-rails (pre-cli)",I don't know,,Ruby,Rails (Ruby),"A non-standard compliant library such as ActiveModel::Serializer (Ruby), FRAPI (PHP), etc., Custom design",Swagger,Selenium (Cucumber),3 -6 months,Monthly,Desktop,Consumers and internal users,"Modern browsers (last two versions), Legacy Chrome, Firefox, or Safari, IE 9","Modern browsers (last two versions), Legacy Chrome, Firefox, or Safari",An app that is used by thousands of users,Rackspace Cloud,Shared data-center,Git,Google's JavaScript execution,0,0,I'm not sure how to do this,I'm not sure how to do this
2/9/2015 10:59:42,North America,9-12 months,8,6,Developer,Some times,Employee working on product,JavaScript,Vim,"Opened an issue, Maintain a library, Attended a meetup / conference",Mac OSX,"Angular, jQuery Mobile",More than 100,More than 100,The same amount,"pre-1.0, 1.3, 1.8, Canary (master)","Ember-Data, Ember-Model","pre-0.13, 1.0-beta.14",Standard Ember Templates (Handlebars/HTMLBars),Ember-cli,"ES6 transpilation, Browserify, Ember-component","Bower, npm, ember-cli (bower and npm), Browserify",JavaScript,Geddy (JavaScript),"A non-standard compliant library such as ActiveModel::Serializer (Ruby), FRAPI (PHP), etc., Custom design",RAML,Ember-QUnit,"9-12 months, 18-24 months",Haven’t shipped yet / Still developing,Desktop,Internal users only,Modern browsers (last two versions),"Mobile browsers, Modern browsers (last two versions)",An app that is used on a corporate intranet,Self-hosted (dedicated infrastructure),Shared data-center,Git,"App is private, behind an authentication flow, or this question generally does not apply",4-6,0,Some,Some
2/9/2015 10:59:43,North America,9-12 months,8,7,Developer,Some times,Employee working on product,"PHP, Java","Sublime, Notepad++",Opened an issue,"Linux/Unix, Windows",Angular,1-10,None,The same amount,"1.8, 1.9",Ember-Data,0.13,Standard Ember Templates (Handlebars/HTMLBars),"Ember-cli, Grunt",ES6 transpilation,"Bower, npm, ember-cli (bower and npm)","JavaScript, PHP, Java",Play Framework (Java/Scala),JSON-API,None,Ember-QUnit,< 3 months,Haven’t shipped yet / Still developing,,,"Mobile browsers, Modern browsers (last two versions), IE 9, IE 8","Mobile browsers, Modern browsers (last two versions), IE 9",Exploring the idea only,Self-hosted (dedicated infrastructure),No shared infrastructure,Git,"App is private, behind an authentication flow, or this question generally does not apply, noscript tags, phantomjs or other pre-rendering, Google's JavaScript execution",0,0,None,I'm not sure how to do this
2/9/2015 11:04:49,Europe,18-24 months,7,5,Developer,Some times,"Employee working on product, Employee doing consulting/client work",PHP,Sublime,None of these,Mac OSX,"Angular, jQuery Mobile",1-10,1-10,The same amount,1.5,Ember-Data,"1.0-beta.4, 1.0-beta.5",Standard Ember Templates (Handlebars/HTMLBars),Grunt,I don't know,,PHP,Laravel (PHP),JSON-API,Apiary,Ember-QUnit,18-24 months,Less than once a month,"Desktop, Mobile","Public Consumers, Business to business consumers","Mobile browsers, Modern browsers (last two versions), IE 9, IE 8","Mobile browsers, Modern browsers (last two versions), IE 9, IE 8",An app that is used by thousands of users,Self-hosted (dedicated infrastructure),Shared data-center,Git,"App is private, behind an authentication flow, or this question generally does not apply",1-3,0,None,None
2/9/2015 11:10:24,Europe,12-18 months,6,7,Developer,All the time,Employee working on product,Ruby,Sublime,"Opened an issue, Attended a meetup / conference, Given a talk / lecture / class, Organize meetups",Mac OSX,"Angular, Backbone",1-10,1-10,The same amount,"1.8, 1.11 Beta",Ember-Data,"1.0-beta.11, 1.0-beta.12",Emblem,"Ember-cli, Rails asset pipeline, Ember-rails (pre-cli), Middleman",I don't know,"Bower, npm, ember-cli (bower and npm), Rubygems",Ruby,Rails (Ruby),"A non-standard compliant library such as ActiveModel::Serializer (Ruby), FRAPI (PHP), etc.",None,Ember-QUnit,3 -6 months,Haven’t shipped yet / Still developing,"Desktop, Mobile, Desktop & Mobile (fully responsive)",Business to business consumers,"Mobile browsers, Modern browsers (last two versions), IE 9, IE 8","Mobile browsers, Modern browsers (last two versions), IE 9",An app that is used by tens of users,S3 (with or without CloudFront),Shared hardware,Git,"App is private, behind an authentication flow, or this question generally does not apply",0,0,I'm not sure how to do this,I'm not sure how to do this
2/9/2015 11:11:30,North America,> 24 months,7,8,Developer,Some times,Independent product developer,Ruby,Sublime,"Opened an issue, Opened a PR, Maintain a library, Written a blog post / article",Mac OSX,,1-10,1-10,The same amount,1.9,"Ember-Data, ic-ajax",1.0-beta.14,Standard Ember Templates (Handlebars/HTMLBars),Ember-cli,ES6 transpilation,ember-cli (bower and npm),Ruby,Rails (Ruby),"A non-standard compliant library such as ActiveModel::Serializer (Ruby), FRAPI (PHP), etc.",None,We don’t write tests,9-12 months,Weekly,Desktop,Business to business consumers,Modern browsers (last two versions),Modern browsers (last two versions),An app that is used by tens of users,VPS (cloud infrastructure),Shared data-center,Git,"App is private, behind an authentication flow, or this question generally does not apply",> 6,> 6,Some,Some
2/9/2015 11:12:39,Europe,18-24 months,8,6,Student,All the time,"Employee working on product, Employee doing consulting/client work",JavaScript,Sublime,"Opened an issue, Attended a meetup / conference",Mac OSX,"Backbone, jQuery Mobile",1-10,1-10,The same amount,1.9,Ember-Data,1.0-beta.13,Standard Ember Templates (Handlebars/HTMLBars),Ember-cli,ES6 transpilation,ember-cli (bower and npm),JavaScript,Express (Node),"JSON-API, Custom design",,Ember-QUnit,"6-9 months, 9-12 months","Weekly, Monthly",Desktop & Mobile (fully responsive),"Business to business consumers, Consumers and internal users","Mobile browsers, Modern browsers (last two versions), IE 9, IE 8","Mobile browsers, Modern browsers (last two versions), Legacy Chrome, Firefox, or Safari, IE 9",An app that is used by tens of users,VPS (cloud infrastructure),Shared hardware,Git,"App is private, behind an authentication flow, or this question generally does not apply",0,0,I'm not sure how to do this,I'm not sure how to do this
2/9/2015 11:14:48,North America,6-9 months,8,5,Developer,Some times,Employee working on product,"Ruby, Python",Sublime,Attended a meetup / conference,"Mac OSX, Linux/Unix","Backbone, jQuery Mobile",20-50,None,The same amount,1.9,"Ember-Data, ic-ajax",1.0-beta.8-10,Standard Ember Templates (Handlebars/HTMLBars),Ember-cli,ES6 transpilation,ember-cli (bower and npm),Python,"Rails (Ruby), Django (Python), Flask (Python)",JSON-API,None,We don’t write tests,6-9 months,Almost daily,Desktop,Internal users only,Modern browsers (last two versions),Modern browsers (last two versions),An app that is used on a corporate intranet,"Self-hosted (dedicated infrastructure), S3 (with or without CloudFront)",No shared infrastructure,Git,"App is private, behind an authentication flow, or this question generally does not apply",0,0,None,None
2/9/2015 11:15:50,North America,12-18 months,8,8,Developer,All the time,"Employee working on product, Independent product developer","Ruby, JavaScript, Go",Sublime,"Maintain a library, Attended a meetup / conference, Written a blog post / article",Mac OSX,,1-10,1-10,More,"1.8, Canary (master)",Ember-Data,1.0-beta.1-3,"Standard Ember Templates (Handlebars/HTMLBars), Emblem",Ember-cli,ES6 transpilation,"Bower, npm, ember-cli (bower and npm)",Ruby,"Rails (Ruby), Sinatra (Ruby)","JSON-API, A non-standard compliant library such as ActiveModel::Serializer (Ruby), FRAPI (PHP), etc.",None,Ember-QUnit,"< 3 months, 6-9 months, 12-18 months","Almost daily, Weekly","Desktop, Mobile, Cordova/Phonegap/Crosswalk","Public Consumers, Business to business consumers, Consumers and internal users","Mobile browsers, Modern browsers (last two versions)","Mobile browsers, Modern browsers (last two versions)",An app that is used by thousands of users,"Rackspace Cloud, Heroku",No shared infrastructure,Git,"App is private, behind an authentication flow, or this question generally does not apply, Our app is indexable, but I don't know how",1-3,1-3,All,None
2/9/2015 11:16:37,South America,< 3 months,7,3,Developer,Never,Employee doing consulting/client work,Ruby,Sublime,None of these,Mac OSX,Backbone,More than 100,1-10,More,1.1,Ember-Data,1.0-beta.14,Standard Ember Templates (Handlebars/HTMLBars),Ember-cli,I don't know,ember-cli (bower and npm),Ruby,"Rails (Ruby), Sinatra (Ruby), Grape (Ruby)","JSON-API, A non-standard compliant library such as ActiveModel::Serializer (Ruby), FRAPI (PHP), etc.",None,Ember-QUnit,< 3 months,Less than once a month,"Desktop & Mobile (fully responsive), Cordova/Phonegap/Crosswalk",Internal users only,"Mobile browsers, Modern browsers (last two versions)","Mobile browsers, Modern browsers (last two versions)",Exploring the idea only,Divshot,No shared infrastructure,,"App is private, behind an authentication flow, or this question generally does not apply",0,0,None,None
2/9/2015 11:27:17,North America,> 24 months,7,8,Developer,All the time,Employee working on product,"Ruby, JavaScript",Sublime,"Attended a meetup / conference, Participated in EAK development",Mac OSX,,1-10,1-10,More,1.9,Ember-Data,1.0-beta.14,Standard Ember Templates (Handlebars/HTMLBars),Ember-cli,ES6 transpilation,ember-cli (bower and npm),Ruby,"Rails (Ruby), Express (Node)",JSON-API,None,"Ember-QUnit, Mocha",12-18 months,Almost daily,Desktop,Public Consumers,Modern browsers (last two versions),Modern browsers (last two versions),An app that is used by thousands of users,Self-hosted (dedicated infrastructure),Shared hardware,Git,"App is private, behind an authentication flow, or this question generally does not apply",1-3,1-3,None,None
